,data,replication,fold,trainRuntime,trainAUC,testAUC,Accuracy
0,Musk1,1,1,0.36373756999999785,0.9107142857142857,0.92,0.7
0,Musk1,1,2,0.27539338100000066,0.8892857142857142,0.92,0.9
0,Musk1,1,3,0.22007852900000557,0.9233449477351917,0.9,0.6666666666666666
0,Musk1,1,4,0.2655292790000061,0.8937282229965158,0.9,0.8888888888888888
0,Musk1,1,5,0.24920765099999187,0.9192799070847851,0.75,0.8888888888888888
0,Musk1,1,6,0.2247112410000085,0.9274099883855982,0.7,0.6666666666666666
0,Musk1,1,7,0.16253769600000112,0.8977932636469221,0.85,0.7777777777777778
0,Musk1,1,8,0.2011319880000002,0.9180232558139535,0.85,0.7777777777777778
0,Musk1,1,9,0.26390085899998894,0.9296511627906976,0.75,0.6666666666666666
0,Musk1,1,10,0.2135500459999946,0.8906976744186047,0.85,0.6666666666666666
0,Musk1,2,1,0.19392660200000478,0.905357142857143,0.8400000000000001,0.9
0,Musk1,2,2,0.22170527300001197,0.8845238095238095,1.0,1.0
0,Musk1,2,3,0.2480385080000076,0.9111498257839722,0.8,0.7777777777777778
0,Musk1,2,4,0.19615062800001226,0.9175377468060394,0.55,0.5555555555555556
0,Musk1,2,5,0.21162996999998995,0.9181184668989548,0.8,0.7777777777777778
0,Musk1,2,6,0.23059690600000238,0.915795586527294,0.85,0.7777777777777778
0,Musk1,2,7,0.2976492829999984,0.8954703832752614,0.95,0.7777777777777778
0,Musk1,2,8,0.2027224129999894,0.9063953488372092,0.9,0.8888888888888888
0,Musk1,2,9,0.2053562669999991,0.8999999999999999,0.9500000000000001,0.7777777777777778
0,Musk1,2,10,0.20953445199999976,0.9215116279069766,0.65,0.5555555555555556
0,Musk1,3,1,0.21525333499999988,0.8964285714285714,0.9600000000000001,0.8
0,Musk1,3,2,0.22023804699999516,0.8863095238095238,0.9600000000000001,0.8
0,Musk1,3,3,0.22303784499999324,0.9152148664343787,1.0,1.0
0,Musk1,3,4,0.2088455380000056,0.9227642276422765,0.75,0.7777777777777778
0,Musk1,3,5,0.24667325000000062,0.937862950058072,0.5,0.4444444444444444
0,Musk1,3,6,0.19640652599998987,0.9030197444831591,1.0,0.8888888888888888
0,Musk1,3,7,0.2621389029999932,0.9059233449477352,0.95,0.8888888888888888
0,Musk1,3,8,0.1845357440000015,0.9069767441860465,0.8,0.6666666666666666
0,Musk1,3,9,0.19778938400000357,0.8883720930232558,1.0,0.7777777777777778
0,Musk1,3,10,0.2958540820000053,0.9156976744186046,0.7,0.6666666666666666
0,Musk1,4,1,0.2047190360000002,0.9279761904761905,0.68,0.6
0,Musk1,4,2,0.31109400799999776,0.8994047619047619,0.8800000000000001,0.8
0,Musk1,4,3,0.20246148600000424,0.9024390243902439,0.7,0.7777777777777778
0,Musk1,4,4,0.23539472199999523,0.9163763066202091,1.0,0.8888888888888888
0,Musk1,4,5,0.2945600630000058,0.8948896631823462,1.0,1.0
0,Musk1,4,6,0.32158388900001,0.9186991869918698,0.45,0.6666666666666666
0,Musk1,4,7,0.30415206399999306,0.90534262485482,0.85,0.7777777777777778
0,Musk1,4,8,0.22534344500000714,0.9093023255813952,0.75,0.6666666666666666
0,Musk1,4,9,0.313226960999998,0.9063953488372094,1.0,1.0
0,Musk1,4,10,0.22662181900000178,0.9261627906976744,0.75,0.6666666666666666
0,Musk1,5,1,0.25909522000000607,0.950595238095238,0.52,0.7
0,Musk1,5,2,0.3787176870000053,0.9154761904761906,0.8400000000000001,0.6
0,Musk1,5,3,0.25336851499999113,0.9157955865272939,1.0,0.8888888888888888
0,Musk1,5,4,0.4342015530000083,0.9059233449477351,0.95,0.8888888888888888
0,Musk1,5,5,0.22934032100000934,0.9163763066202091,0.75,0.5555555555555556
0,Musk1,5,6,0.304198717999995,0.9204413472706157,0.8,0.6666666666666666
0,Musk1,5,7,0.28885626500000683,0.9094076655052266,1.0,0.8888888888888888
0,Musk1,5,8,0.2318914829999983,0.8883720930232558,0.8,0.7777777777777778
0,Musk1,5,9,0.3521014540000067,0.9011627906976745,0.9,0.8888888888888888
0,Musk1,5,10,0.31947551999999746,0.8866279069767442,1.0,1.0
0,Musk1,Average,Average,0.2519653085000007,0.9094304959079491,0.8384,0.7760000000000001
